customer_id,first_name,last_name,signup_date,region
1,Jamie,Smith,2026-01-15,EU
2,Priya,Chen,2025-03-13,US-East
3,Jamie,Kim,2025-08-05,US-East
4,Alex,Smith,2025-04-22,US-West
5,Alex,Kim,2025-04-12,APAC
6,Priya,Garcia,2025-10-29,EU
7,Alex,Nguyen,2026-02-17,US-West
8,Amara,Patel,2025-05-23,US-West
9,Priya,Nguyen,2025-06-22,US-East
10,Jamie,Garcia,2025-02-19,EU
11,Diego,Kim,2025-05-16,US-East
12,Liam,Kim,2025-03-05,APAC
13,Jamie,Kim,2025-05-31,EU
14,Priya,Johnson,2025-02-05,US-East
15,Priya,Nguyen,2025-05-29,US-East
16,Priya,Nguyen,2025-02-21,APAC
17,Wei,Garcia,2025-11-22,EU
18,Sam,Patel,2025-07-01,US-West
19,Wei,Johnson,2026-04-25,US-East
20,Sam,Kim,2026-01-09,US-West
21,Sam,Garcia,2025-07-14,EU
22,Priya,Johnson,2025-06-16,US-East
23,Priya,Nguyen,2025-01-17,EU
24,Amara,Patel,2025-02-03,US-West
25,Diego,Chen,2025-12-02,APAC
26,Amara,Johnson,2025-08-23,US-West
27,Wei,Chen,2025-05-07,EU
28,Amara,Kim,2025-07-24,EU
29,Priya,Chen,2025-09-18,APAC
30,Jamie,Nguyen,2025-01-25,US-East
31,Sam,Johnson,2025-03-23,APAC
32,Jamie,Garcia,2025-07-15,APAC
33,Wei,Kim,2026-03-17,US-East
34,Jamie,Johnson,2026-03-30,EU
35,Diego,Smith,2025-05-31,APAC
36,Sam,Garcia,2025-01-02,EU
37,Sam,Kim,2026-04-13,US-East
38,Wei,Nguyen,2025-11-24,US-West
39,Sam,Patel,2026-01-26,US-West
40,Alex,Kim,2025-06-15,APAC
41,Alex,Smith,2026-04-21,EU
42,Wei,Chen,2025-01-30,US-West
43,Jamie,Smith,2026-01-10,APAC
44,Jamie,Nguyen,2025-09-30,US-West
45,Sam,Johnson,2025-09-01,US-West
46,Wei,Kim,2026-03-23,APAC
47,Priya,Kim,2026-01-22,US-West
48,Wei,Garcia,2025-12-10,EU
49,Liam,Kim,2025-08-20,US-East
50,Priya,Chen,2025-02-02,EU
